,,,,,,,,,,,,,,,,,,,,
Year,2024,,,,,,,,,,,,,,,,,,,
,,,Power Consumption 24 to 23 ,DG Power Consumption 24 to 23 ,Total solar Generation,Hotel ,,,HVAC Tenants,,HVAC  CA,,Lighting Tenants,,Lighting CA,,Office Tenants,,Office CA,
Months,Consumption,Bill Copy,,,,Solar,EB,DG,EB,DG,EB,DG,EB,DG,EB,DG,EB,DG,EB,DG
January,2317000,,2310200,528,17350,3184,356844,0,189141,0,68380,0,1279592,0,240822,528,100234,0,89353,1
February,2248000,,2346800,195,34005,5402,537878,152,103550,0,37345,0,1264141,0,244085,36,101152,0,87252,0
March,2635000,,2180800,77,39158,5866,248706,0,357862,0,129552,0,1063496,0,253456,77,90993,0,70027,0
April,3184000,,3400600,9155,58686,8637,496040,1867,689694,0,250231,0,1468564,6877,310243,0,136463,386,99414,25
May,3692000,,3352600,10897,55634,8534,572033,1713,742330,3684,269541,1338,1354569,2562,213612,127,142269,1473,105346,0
June,3750000,,3963600,17994,56948,8752,661645,1846,913044,7038,329897,2543,1508234,5545,328849,390,152766,625,117361,7
July,4352000,,4065600,0,37734,6408,714864,0,927403,0,335548,0,1474599,0,386394,0,143962,0,114157,0
August,3905000,,3989500,116605,27707,6572,711845,1675,886943,21023,321757,7626,1462200,85250,376366,0,139600,1069,111924,0
September,3713000,,3851000,0,50001,6470,650990,0,837068,0,303327,0,1531900,0,325041,0,134613.3,0,111592.7,0
October,3375000,,3383600,0,64372,11603,546877,0,691997,0,249171,0,1432757,0,288890,0,123501,0,103176,0
November,2789000,,3020800,3663,64137,12536,465591,1411,501874,467,180237,168,1415646,1398,294819,0,114354,0,99880,219
December,2552000,,2409600,0,59386,11314,357859,0,239950,0,86322,0,1261107,0,323515,0,96915,0,92004,0
Total ,38512000,,38274700,159114,565118,95278,6321171,8664,7080856,32212,2561308,11675,16516804,101632,3586093,1158,1476822,3553,1201487,252
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
